Date,Close,High,Low,Open,Volume,RSI,MA10,MA20,MA50,MACD
2025-06-09,55496.875,55993.269230769234,55496.875,55794.71153846154,2223900,34.82884630042565,56122.33046875,56499.5896484375,57393.099375,78.66137085120465
2025-06-10,55496.875,55993.269230769234,55496.875,55794.71153846154,2223900,34.82884630042565,56013.123828125,56464.8421875,57232.26765625,58.90703348122463
2025-06-11,55496.875,55794.71153846154,55496.875,55596.15384615385,2231400,34.82884630042565,55923.773046875,56420.166796875,57061.508046875,49.93492827912905
2025-06-12,55298.31640625,55794.71062892729,55298.31640625,55794.71062892729,2295800,33.15918008609525,55814.56640625,56271.2486328125,56880.820546875,35.40589250731796
2025-06-13,55596.15234375,55695.43118722099,55298.31581333706,55596.15234375,2560800,37.963284739653325,55745.07109375,56137.222265625,56795.44078125,49.75355849862626
2025-06-16,56191.82421875,56291.10306012589,55794.70885324647,55794.70885324647,4336600,46.279494925079895,55784.782421875,56117.36640625,56727.931171875,100.34224866898808
2025-06-17,56191.82421875,56291.10306012589,55794.70885324647,55794.70885324647,4336600,46.279494925079895,55824.49375,56097.510546875,56743.81578125,132.75108021064614
2025-06-18,56787.5,57085.33653846154,56390.38461538462,56489.66346153846,5159800,53.507691980142106,55864.20546875,56102.474609375,56837.137890625,189.77827425130374
2025-06-19,56291.10546875,56886.77854249338,56092.5477775022,56787.49969686949,3421100,47.74270125867045,55874.13359375,56082.6189453125,56849.05140625,189.12040208121994
2025-06-20,56191.82421875,56588.93958425354,56092.54537737412,56291.10306012589,2368700,46.65989420632716,55903.9171875,56067.7271484375,56785.512890625,177.25293293079432
2025-06-23,56191.82421875,56489.660742877655,56092.54537737412,56291.10306012589,2480600,46.65989420632716,55973.412109375,56047.8712890625,56731.902265625,164.91352004917564
2025-06-24,56191.82421875,56489.660742877655,56092.54537737412,56291.10306012589,2480600,46.65989420632716,56042.90703125,56028.0154296875,56664.39265625,152.54928312231436
2025-06-25,56191.82421875,56688.21842562942,56191.82421875,56489.660742877655,3507600,46.65989420632716,56112.401953125,56018.0875,56610.78203125,140.4699500216621
2025-06-26,56191.82421875,56489.660742877655,56191.82421875,56390.38190150177,2739800,46.65989420632716,56201.752734375,56008.1595703125,56580.998359375,128.88224829082253
2025-06-27,55993.26953125,56390.38491799645,55993.26953125,56291.10607130984,2842900,43.78323596213247,56241.464453125,55993.2677734375,56547.24359375,105.24509304024457
